player_id,total_games,games_played,goals,assists,ppg,yellow_cards,second_yellow_cards,red_cards
535955,38,22,1,1,1.77,3,2,
94005,21,16,,1,2.13,6,1,
335721,34,32,,,1.88,,3,
331560,23,22,,1,1.91,4,2,
191217,29,23,,2,1.87,,2,
112988,33,21,1,1,1.86,4,3,
610649,1,,,,,,,
540687,15,,,,,,,
230784,24,24,2,1,2.08,6,6,
160438,33,14,,2,1.71,,1,
111455,27,27,1,2,1.78,3,10,
381967,37,19,,,1.74,3,5,
581674,6,,,,,,,
547533,4,,,,,,,
285845,35,16,,,1.69,7,,
316264,36,36,7,4,1.92,12,4,
392765,35,33,10,2,1.73,11,1,
668495,1,,,,,,,
741238,8,,,,,,,
655488,36,29,6,6,1.72,11,1,1
433177,38,38,11,7,1.82,20,6,
40611,9,4,,,0.5,1,1,
262226,29,27,1,,1.52,2,1,
413220,15,13,,,1.46,1,,
215876,24,14,1,3,1.57,4,3,
530732,15,7,,,0.43,2,2,
274839,21,19,,,1.32,2,4,
344605,26,19,,1,1.37,6,,
341501,31,6,,,1.33,3,1,
111051,17,14,,,1.57,5,3,
533657,5,1,,,,,,
249565,33,32,6,4,1.47,5,3,
129588,26,23,2,2,1.74,10,3,
475188,36,28,1,2,1.46,4,4,
61560,34,17,1,2,1.35,,3,
294057,35,35,12,8,1.4,14,3,
621193,5,1,,,3,,,
398065,35,32,6,10,1.34,11,2,
246968,32,14,2,3,1.14,5,,
406040,33,26,6,,1.12,13,2,
295330,35,26,4,5,1.12,9,1,
365172,36,23,5,3,1.17,11,2,
197838,27,25,15,2,1.56,5,2,
253677,36,36,1,3,1.22,,11,
413403,32,29,2,,1.21,3,4,1
215118,23,13,1,,1.15,2,1,
342046,27,10,,,1.6,1,1,
233124,26,7,1,,1.14,1,,
875929,3,,,,,,,
126664,30,29,,4,1.17,3,6,
250478,36,33,1,1,1.42,3,3,
670846,7,,,,,,,
425334,38,38,4,3,1.18,3,8,
354352,34,33,,4,1.7,9,4,
14086,36,24,,2,1.38,4,2,
626888,2,,,,,,,
324882,24,16,,,0.94,5,5,
645686,1,,,,,,,
134294,33,30,7,6,1.23,15,4,
381362,19,12,,,2.08,5,1,
533662,12,3,,,1,,,
412660,6,1,,,,,,
742746,7,6,,,1.5,1,,
118534,36,32,3,2,1.09,1,2,1
289446,14,13,,,1.62,3,3,
343475,24,23,,,0.83,2,6,
348623,35,25,2,1,1.08,1,7,
661053,26,6,1,,0.17,,,
655986,6,,,,,,,
126664,30,29,,4,1.17,3,6,
404842,32,28,1,3,1.96,6,2,
591193,26,23,,,0.96,5,5,
424015,23,6,,1,3,,,
258883,37,15,,1,0.67,1,1,1
68390,34,30,1,1,1.13,2,4,
126422,33,28,,2,1.14,7,7,
182894,27,14,2,2,1.57,4,4,
288255,31,15,2,,1.13,2,1,
127187,31,30,2,4,1.13,2,6,
221025,21,14,,1,1.14,5,3,
314210,15,6,1,,0.83,1,1,
50362,16,11,,,1.18,6,2,
663225,5,3,,,0.33,,,
612749,5,1,,,,,,
242631,35,28,2,2,1.32,7,1,
207929,37,21,1,,1.14,4,4,
726992,1,,,,,,,
292417,34,34,5,4,1.03,19,3,
503733,37,35,4,2,0.91,11,4,
627248,11,3,,,1.67,,1,
183720,28,11,1,1,1.18,2,2,
61842,25,21,3,2,1,6,3,
378710,30,30,10,5,1.13,7,8,
306024,20,17,5,2,1.18,6,2,
364135,33,33,5,3,2,11,5,
80197,30,20,1,1,0.85,3,2,
45671,8,1,,,,,,
344009,1,,,,,,,
511550,19,13,3,,1.46,3,1,
128901,38,38,4,,1.34,3,4,
525247,32,30,1,,1.53,2,3,
204198,33,31,2,,1.32,4,6,
142310,24,10,,,0.8,,1,
716276,5,,,,,,,
606718,33,20,1,,1.4,2,5,
495993,1,,,,,,,
539807,11,,,,,,,
578391,35,23,1,4,1.13,3,4,
175446,17,13,2,,0.85,2,1,
504581,2,,,,,,,
137745,50,36,1,2,1.56,6,9,
