,player_id,Current_club_ID,Name,Main_position,Season_year,Market_Value,Date_of_birth,Age,Height,Foot,Ajent
5716,58379,39,Maximilian Beister,Right Winger,2015,900000.0,N/A ,24.0,"1,80",left,NOACK SPORTS GmbH 
5725,124419,79,Odysseas Vlachodimos,Goalkeeper,2015,450000.0,26-Apr-94,21.0,"1,91",right,fair-sport GmbH 
5731,38434,79,Daniel Schwaab,Centre-Back,2015,1500000.0,23-Aug-88,26.0,"1,86",right,ASBW Sport Marketing 
5733,86204,79,Stephen Sama,Centre-Back,2015,350000.0,5-Mar-93,22.0,"1,89",right,Football Network UK 
5734,62800,79,Adam Hlousek,Left-Back,2015,1000000.0,20-Dec-88,26.0,"1,87",left,
5735,112617,79,Philip Heise,Left-Back,2015,800000.0,20-Jun-91,24.0,"1,84",left,Careerkick 
5736,44521,79,Kevin Großkreutz,Right-Back,2015,2500000.0,19-Jul-88,26.0,"1,86",right,KL Sportsbase 
5737,20276,79,Florian Klein,Right-Back,2015,1500000.0,17-Nov-86,28.0,"1,80",right,
5739,77708,79,Geoffroy Serey Dié,Defensive Midfield,2015,2000000.0,7-Nov-84,30.0,"1,79",right,Heusler ... 
5741,170523,79,Mart Ristl,Defensive Midfield,2015,200000.0,7-Jul-96,18.0,"1,78",right,Lokurlu  
5744,119581,79,Marvin Wanitzek,Central Midfield,2015,400000.0,7-May-93,22.0,"1,79",right,Lokurlu  
5755,218299,79,Jan Kliment,Centre-Forward,2015,1000000.0,1-Sep-93,21.0,"1,85",right,Nehoda Sport 
5756,138292,79,Boris Tashchy,Centre-Forward,2015,400000.0,26-Jul-93,21.0,"1,92",right,DLT Sports Group 
5766,178641,44,Shawn Kauter,Centre-Back,2015,125000.0,13-Apr-96,19.0,"1,83",right,
5767,241970,44,Nico Beyer,Centre-Back,2015,125000.0,22-Sep-96,18.0,"1,89",right,
5770,31218,44,Johannes van den Bergh,Left-Back,2015,600000.0,21-Nov-86,28.0,"1,83",left,ROOF 
5783,43847,44,Ronny,Attacking Midfield,2015,500000.0,11-May-86,29.0,"1,75",left,Brand Activation 
5787,25427,44,Roy Beerens,Right Winger,2015,2000000.0,22-Dec-87,27.0,"1,73",right,
5793,236366,24,Emil Balayev,Goalkeeper,2015,150000.0,17-Apr-94,21.0,"1,89",left,not clarified 
5794,215784,24,Yannick Zummack,Goalkeeper,2015,150000.0,26-Mar-96,19.0,"1,86",right,KSM 360 
5795,53533,24,Carlos Zambrano,Centre-Back,2015,6500000.0,10-Jul-89,25.0,"1,85",right,Relatives 
5800,78553,24,Bamba Anderson,Centre-Back,2015,1250000.0,10-Jan-88,27.0,,,
5802,41866,24,Constant Djakpa,Left-Back,2015,1250000.0,17-Oct-86,28.0,"1,77",left,Aziz Ndiaye 
5808,43274,24,Stefan Reinartz,Defensive Midfield,2015,,1-Jan-89,26.0,,,Sports360 GmbH 
