,player_id,Current_club_ID,Name,Main_position,Season_year,Market_Value,Date_of_birth,Age,Height,Foot,Ajent
132,12282,985,Daley Blind,Left-Back,2015,6000000.0,"Mar 9, 1990 ",33.0,"1,80",left,SEG 
133,258879,985,Cameron Borthwick-Jackson,Left-Back,2015,300000.0,"Feb 2, 1997 ",26.0,"1,89",left,
134,134414,985,Tyler Blackett,Left-Back,2015,1500000.0,"Apr 2, 1994 ",29.0,"1,83",left,CAA Base Ltd 
135,54906,985,Matteo Darmian,Right-Back,2015,4000000.0,"Dec 2, 1989 ",33.0,"1,83",right,TMP SOCCER srl  
136,14086,985,Ashley Young,Right-Back,2015,1000000.0,"Jul 9, 1985 ",37.0,"1,75",both,CAA Base Ltd 
137,33544,985,Antonio Valencia,Right-Back,2015,,"Aug 4, 1985 ",37.0,"1,80",right,JP PACHON SPORTS 
138,188862,985,Guillermo Varela,Right-Back,2015,2000000.0,"Mar 24, 1993 ",30.0,"1,73",right,Oscar Bentancourt 
139,179451,985,Donald Love,Right-Back,2015,250000.0,"Dec 2, 1994 ",28.0,"1,78",right,
140,340194,985,Regan Poole,Right-Back,2015,450000.0,"Jun 18, 1998 ",24.0,"1,80",right,Elite Management ... 
141,315131,985,Timothy Fosu-Mensah,Right-Back,2015,3000000.0,"Jan 2, 1998 ",25.0,"1,85",right,CAA Base Ltd 
142,56818,985,Morgan Schneiderlin,Defensive Midfield,2015,1500000.0,"Nov 8, 1989 ",33.0,"1,86",right,Team Spirit ... 
143,3878,985,Michael Carrick,Defensive Midfield,2015,,"Jul 28, 1981 ",41.0,"1,89",right,10Ten Football 
144,387036,985,Joe Riley,Defensive Midfield,2015,125000.0,"Dec 6, 1996 ",26.0,"1,76",right,Extra Time Sports ... 
145,99343,985,Ander Herrera,Central Midfield,2015,3000000.0,"Aug 14, 1989 ",33.0,"1,82",right,AC Talent 
146,39679,985,Marouane Fellaini,Central Midfield,2015,2500000.0,"Nov 22, 1987 ",35.0,"1,94",right,Football Solution ... 
